Termék kód,Kategória,Név,Leírás (HU),Ár (RON),Felhasználás,Új Név,nume produs,Új leírás ,Megjegyzés,Termék típus,,,
,Friss Sertéshús,Nyakas Karaj,"A nyak és a karaj közötti márványos rész, kiváló sütéshez és pároláshoz.",33,"Flekken, Lesi-pecsi",Sertés nyakaskaraj,Ceafă porc,,,Kilora,"Szeletelve: duplán nyitott, sima","Pácolt vagy nem pácolt? Barbeque és hagyományos pác, só bors és fokhagyma",
,Friss Sertéshús,Sertés Bélszín,"A sertés legpuhább, legnemesebb része, omlós állagú, tökéletes steaknek vagy sütve.",40,"Bécsi szelet, Szeletek",,Mușchuleți porc,,Darab-kb 0.50 kg-os ,Darab Súllyal,,,
,Friss Sertéshús,Sertés Bordacsont,"Friss bordacsont, gazdag ízű, ideális levesbe vagy párolva.",12,"Levesek, Lerbe sütve akár főzelékhez",,Coaste porc,,,Kilora,Egészben 15kg / Kisebb darabok 12 RON kg,,
,Friss Sertéshús,Sertés Comb ,"Sovány, nagy húsdarab, sokoldalúan felhasználható sütve, főzve vagy darálva.",25,Pörkölt vagy szelet,Sertés comb csontnélkül,Pulpă porc,,,Kilora,"Pörköltet lehet készíteni, ",,
,Friss Sertéshús,Sertés Csontos Karaj,"Csontján hagyott karajszelet, saftos és ízletes, grillezéshez vagy sütőbe.",25.5,Steak,,Cotlet porc cu os și slănină,,Cotlet porc cu os si cu slanina,Kilora,Barbeque,Szeletelve,Pácolva
,Friss Sertéshús,Sertés Csülök,"Kollagénben gazdag friss csülök, párolt fogásokhoz és húsleveshez ideális.",19,"Lerbe sült csülök , Pörkölt",Sertés fehérkaraj csontos szalonnás ,Cotlet porc cu os și slănină,,Darab-kb 1.50 kg-os ,Darab Súllyal,"kiseb, nagyobb",,
,Friss Sertéshús,Sertés Egész Bordacsont,"Egészben hagyott bordacsont, ünnepi alkalmakra és grillezéshez tökéletes.",15,Lerbe sült borda,,Coaste porc întregi,,,Kilora,,,
,Friss Sertéshús,Sertés Fehér Karaj,"Zsírszegény, egyenletes húsú karajdarab, könnyen szeletelhető sütéshez.",33,Szeletek,Sertés fehérkaraj csontnélkül,Cotlet porc fără os,,,Kilora,"Ugyan az mint csonots cak csont nelkul, csak szalonna nelkul","Szeletnek valo, becsi, flekkennek valo",
,Friss Sertéshús,Sertés Hasrész,"Zsíros, ízgazdag hasrész, pörköltnek, darálva vagy frissen sütve kiváló.",24.5,Lerbe sült has,"Ebben minden benne van, csontos és bőrős",Piept porc,,,Kilora,,,
,Friss Sertéshús,Sertés Hasrész Csontnélkül,,26,"Grill, lerben kisütni, hasonló mint a nyakas karaj,",Nincs csont de van bőr rajta,Piept porc fara os,,,Kilora,Szeletelve,Pacolva,
