field_code,field_name,value,source
F1.01,Denumire completă societate,TransOffice Trade SRL,CLAUDE.md
F1.02,Cod unic de înregistrare (CUI),15847291,CLAUDE.md
F1.03,Nr. Registrul Comerțului,J19/421/2003,CLAUDE.md
F1.04,Plătitor de TVA,DA — plătitor TVA normal,Mihaela confirmare
F1.05,Cod CAEN principal,4649,Cégkivonat
F1.06,Descrierea activității principale,"Comerț cu ridicata al consumabilelor de birou (papetărie, tonere, rechizite) și mobilier mic pentru spații administrative, cu logistică proprie B2B în județele Hargita și Covasna. Servim aproximativ 28 de clienți activi (instituții publice, IMM-uri, birouri profesionale).",F4.2 + Plan de afaceri
F1.07,Județul,Harghita,Cégkivonat
F1.08,Localitatea,Odorheiu Secuiesc,Cégkivonat
F1.09,Strada,Calea Băieșenilor,szerzodes_chirie_TransOffice_2018.docx
F1.10,Număr,22,szerzodes_chirie_TransOffice_2018.docx
F1.11,Cod poștal,535600,Odorheiu Secuiesc — standard CP
F1.12,Telefon,0266-218945,szerzodes_chirie_TransOffice_2018.docx Art. 27
F1.13,Email,contact@transoffice.ro,szerzodes_chirie_TransOffice_2018.docx Art. 27
F1.14,Nume și prenume reprezentant legal,Kovács Márton,CLAUDE.md
F1.15,Funcția,Administrator,Cégkivonat 2024 actualizat
F1.16,CNP,1920411191234,Márton aktuálisan (CNP-ből hozott, helyettesítő)
F1.17,Seria și nr. CI,HR 654321,Márton CI
F1.18,Email reprezentant,kovacs.marton.to@gmail.com,emailek
F2.01,Categoria IMM,Microîntreprindere,Mihaela bilanț (12 FTE / 2 M RON CA)
F2.02,Nr. mediu salariați (ultimul an),12,Mihaela 'Nr. salariati' sheet
F2.03,Cifra de afaceri netă (RON),2015000,Mihaela bilanț 2024
F2.04,Total active (RON),858000,Mihaela bilanț 2024
F2.05,Cifra de afaceri netă în EUR,405000,calculat din 2015000 / 4.9746
F2.06,Curs BNR EUR/RON utilizat,4.9746,BNR 31.12.2024
F2.07,Solicitantul este înregistrat și funcționează pe teritoriul României,DA,Cégkivonat
F2.08,Solicitantul NU se află în procedură de insolvență / faliment,DA,Mihaela + cégkivonat
F2.09,Solicitantul NU are datorii fiscale restante,DA,Mihaela confirmare + cert. ANAF M-04
F2.10,Solicitantul NU a primit ajutor de minimis > 200k EUR / 3 ani,DA (0 EUR cumulat),Mihaela cont 7411-7414
F2.11,Solicitantul NU se află sub un ordin de recuperare,DA,Cert. fiscal
F2.12,Solicitantul NU desfășoară activități neeligibile,DA,CAEN 4649 eligibilis
F2.13,Solicitantul NU este rezident jurisdicții necooperante,DA,Sediu Romania
F2.14,Solicitantul deține minim 1 vehicul ICE existent,DA — 2 furgoane diesel (M-11 anexa),Bíró Attila inventar
F3.01,Titlul proiectului,"Înlocuirea flotei diesel cu 2 vehicule electrice N1 + 1 punct de reîncărcare 22 kW la sediul TransOffice Trade SRL — Odorheiu Secuiesc",F5.1
F3.02,Tipul intervenției,Categoria A (achiziție vehicule electrice) + B (infrastructură de reîncărcare) + C (minimis activități conexe),Ghidul 3.6 + plan de afaceri
