# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     19     64      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     61      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     13     63      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     13     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     62      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     17     59      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     12     61      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    3     12     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     18     60      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      1 
    1     17     57      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     12     60      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     11     55      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     84     61      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      0 
    1     73     59      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     71     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     73     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     83     62      -      0      0      0      0      0      0  13365   2272      0      0  89162  89163      0      -      -      0      0      2 
    1     73     59      -      0      0      0      0      0      0  13365   2272      0      0  89164  89165      0      -      -      0      0      0 
    2     70     61      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    3     74     57      -      0      0      0      0      0      0  13365   2272      0      0  89166  89167      0      -      -      0      0      0 
    0     18     59      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     16     57      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      2 
    2     12     59      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     54      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    0     17     58      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     55      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
    2     11     57      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      0 
    3     10     53      -      0      0      0      0      0      0    405    180      0      0  89166  89167      0      -      -      0      0      2 
    0     17     57      -      0      0      0      0      0      0    405    180      0      0  89162  89163      0      -      -      0      0      0 
    1     15     55      -      0      0      0      0      0      0    405    180      0      0  89164  89165      0      -      -      0      0      0 
